task_id	sid	snap	run_label	mode	alpha	ray_id	spectrum_file	output_file
11214	438148	99	L4Rvir	noflip	53	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha53_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha053/L4Rvir_sid438148_J122138+043026_noflip_alpha53_spectrum_fits.csv
11215	438148	99	L4Rvir	noflip	54	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha54_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha054/L4Rvir_sid438148_J122138+043026_noflip_alpha54_spectrum_fits.csv
11216	438148	99	L4Rvir	noflip	55	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha55_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha055/L4Rvir_sid438148_J122138+043026_noflip_alpha55_spectrum_fits.csv
11217	438148	99	L4Rvir	noflip	56	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha56_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha056/L4Rvir_sid438148_J122138+043026_noflip_alpha56_spectrum_fits.csv
11218	438148	99	L4Rvir	noflip	57	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha57_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha057/L4Rvir_sid438148_J122138+043026_noflip_alpha57_spectrum_fits.csv
11219	438148	99	L4Rvir	noflip	58	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha58_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha058/L4Rvir_sid438148_J122138+043026_noflip_alpha58_spectrum_fits.csv
11220	438148	99	L4Rvir	noflip	59	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha59_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha059/L4Rvir_sid438148_J122138+043026_noflip_alpha59_spectrum_fits.csv
11221	438148	99	L4Rvir	noflip	60	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha60_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha060/L4Rvir_sid438148_J122138+043026_noflip_alpha60_spectrum_fits.csv
11222	438148	99	L4Rvir	noflip	61	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha61_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha061/L4Rvir_sid438148_J122138+043026_noflip_alpha61_spectrum_fits.csv
11223	438148	99	L4Rvir	noflip	62	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha62_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha062/L4Rvir_sid438148_J122138+043026_noflip_alpha62_spectrum_fits.csv
11224	438148	99	L4Rvir	noflip	63	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha63_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha063/L4Rvir_sid438148_J122138+043026_noflip_alpha63_spectrum_fits.csv
11225	438148	99	L4Rvir	noflip	64	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha64_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha064/L4Rvir_sid438148_J122138+043026_noflip_alpha64_spectrum_fits.csv
11226	438148	99	L4Rvir	noflip	65	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha65_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha065/L4Rvir_sid438148_J122138+043026_noflip_alpha65_spectrum_fits.csv
11227	438148	99	L4Rvir	noflip	66	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha66_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha066/L4Rvir_sid438148_J122138+043026_noflip_alpha66_spectrum_fits.csv
11228	438148	99	L4Rvir	noflip	67	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha67_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha067/L4Rvir_sid438148_J122138+043026_noflip_alpha67_spectrum_fits.csv
11229	438148	99	L4Rvir	noflip	68	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha68_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha068/L4Rvir_sid438148_J122138+043026_noflip_alpha68_spectrum_fits.csv
11230	438148	99	L4Rvir	noflip	69	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha69_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha069/L4Rvir_sid438148_J122138+043026_noflip_alpha69_spectrum_fits.csv
11231	438148	99	L4Rvir	noflip	70	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha70_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha070/L4Rvir_sid438148_J122138+043026_noflip_alpha70_spectrum_fits.csv
11232	438148	99	L4Rvir	noflip	71	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha71_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha071/L4Rvir_sid438148_J122138+043026_noflip_alpha71_spectrum_fits.csv
11233	438148	99	L4Rvir	noflip	72	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha72_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha072/L4Rvir_sid438148_J122138+043026_noflip_alpha72_spectrum_fits.csv
11234	438148	99	L4Rvir	noflip	73	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha73_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha073/L4Rvir_sid438148_J122138+043026_noflip_alpha73_spectrum_fits.csv
